SD;X1;X2;x1_res;x2_res;y;f_calls;g_calls;CG;x1_res;x2_res;y;f_calls;g_calls;Newton;x1_res;x2_res;y;f_calls;g_calls
;1,115329;0,681845;0,000313;-0,000182;1,7171e-07; 289;9;;0,000780;-0,001881;3,28785e-06; 765;28;;1,747552;-0,873776;0,298638; 225;5
;0,137394;-0,555986;0,000041;-0,000167;2,45222e-08; 253;8;;0,000062;-0,000032;6,83011e-09; 97;4;;-0,000000;-0,000000;9,69032e-21; 109;3
;-1,912351;1,713858;-1,747446;0,875408;0,298641; 526;21;;-1,747549;0,873938;0,298638; 229;9;;-1,747552;0,873776;0,298638; 145;4
;-1,580309;0,781457;-1,747377;0,872841;0,298639; 219;8;;-1,747628;0,874463;0,298639; 109;5;;-1,747552;0,873776;0,298638; 106;3
;0,561235;1,719474;0,000176;-0,000065;5,48e-08; 262;8;;0,000065;-0,000107;1,28029e-08; 262;9;;-1,747552;0,873776;0,298638; 102;3
;-0,523270;0,335032;-0,000064;0,000396;1,3997e-07; 286;9;;0,000010;0,000085;8,28351e-09; 193;7;;-0,000000;0,000000;1,01611e-14; 103;3
;-0,109684;-0,730674;0,000216;-0,000312;1,23362e-07; 283;9;;0,000077;-0,000172;2,81341e-08; 130;5;;0,000000;-0,000000;6,01027e-21; 109;3
;-0,308908;-1,330424;0,000208;-0,000316;1,2075e-07; 283;9;;-0,000004;0,000019;3,2891e-10; 226;8;;-0,000000;-0,000000;1,27207e-14; 109;3
;-0,757408;0,277657;-0,000150;0,000024;4,2173e-08; 193;6;;0,000192;-0,000559;2,79044e-07; 313;11;;-0,000000;0,000000;2,08643e-14; 115;3
;1,073092;0,498611;0,000203;-0,000102;7,18393e-08; 289;9;;0,000192;-0,000197;7,46375e-08; 406;14;;1,070542;-0,535271;0,877362; 73;2
;-1,755119;-1,439924;-0,000194;0,000303;1,08343e-07; 289;9;;-0,000581;0,001418;1,86229e-06; 412;14;;-1,747552;0,873776;0,298638; 73;2
;-1,916990;0,716147;-1,747242;0,872203;0,298641; 244;9;;-1,747419;0,873417;0,298639; 139;6;;-1,747552;0,873776;0,298638; 150;4
;-0,610920;-0,879482;0,000165;-0,000280;8,6374e-08; 220;7;;-0,000054;0,000118;1,33656e-08; 190;7;;-0,000000;-0,000000;9,98313e-21; 171;5
;0,274850;-1,032563;0,000076;-0,000304;8,09615e-08; 253;8;;-0,000065;0,000196;3,40897e-08; 265;9;;0,000000;-0,000000;8,79751e-16; 109;3
;0,818934;-1,712882;0,000204;-0,000088;7,32398e-08; 300;9;;0,000990;-0,002462;5,58452e-06; 853;33;;1,747552;-0,873776;0,298638; 190;5
;0,383740;1,884518;-0,000248;0,000119;1,08033e-07; 292;9;;0,000649;-0,000591;8,0875e-07; 569;20;;0,000000;0,000000;6,87308e-20; 145;4
;-1,874508;0,827113;-1,747401;0,873196;0,298639; 134;5;;-1,747556;0,873588;0,298638; 164;7;;-1,747552;0,873776;0,298638; 150;4
