SD;X1;X2;x1_res;x2_res;y;f_calls;g_calls;CG;x1_res;x2_res;y;f_calls;g_calls;Newton;x1_res;x2_res;y;f_calls;g_calls
;1,115329;0,681845;0,004262;-0,010051;9,45193e-05; 45;44;;nan;nan;nan; 27;27;;1,071216;-0,517133;0,877702; 83;82
;0,137394;-0,555986;0,004133;-0,009978;9,24899e-05; 49;48;;0,000976;-0,002509;5,75025e-06; 19;19;;0,004313;-0,017834;0,000278323; 68;67
;-1,912351;1,713858;-1,748455;0,883063;0,298721; 46;45;;-1,747719;0,875361;0,298641; 20;20;;-1,752617;0,891672;0,299025; 77;76
;-1,580309;0,781457;-1,746628;0,864328;0,298724; 26;25;;-1,747456;0,872457;0,29864; 16;16;;-1,732128;0,864761;0,299988; 38;37
;0,561235;1,719474;-0,004322;0,010434;0,000101133; 59;58;;-0,000089;0,001271;1,51813e-06; 23;23;;-1,747921;0,892749;0,298992; 92;91
;-0,523270;0,335032;-0,004376;0,010551;0,000103459; 48;47;;-0,000050;0,002299;5,17682e-06; 16;16;;-0,014931;0,010847;0,000401497; 61;60
;-0,109684;-0,730674;0,004237;-0,010232;9,72386e-05; 50;49;;0,000128;-0,001298;1,55056e-06; 21;21;;-0,002688;-0,018211;0,000395037; 73;72
;-0,308908;-1,330424;0,004174;-0,010076;9,43138e-05; 57;56;;0,000101;-0,001514;2,16063e-06; 22;22;;-0,003651;-0,018149;0,0004223; 85;84
;-0,757408;0,277657;-0,004351;0,010488;0,000102227; 51;50;;-0,001682;0,004194;1,61919e-05; 24;24;;-1,056852;0,522711;0,876986; 57;56
;1,073092;0,498611;0,004300;-0,010252;9,79924e-05; 47;46;;nan;nan;nan; 27;27;;1,070589;-0,516352;0,87772; 79;78
;-1,755119;-1,439924;-1,746665;0,864714;0,298717; 57;56;;-1,747629;0,875447;0,298641; 24;24;;-1,747615;0,855142;0,298987; 95;94
;-1,916990;0,716147;-1,746685;0,864915;0,298714; 29;28;;-1,747452;0,872355;0,29864; 16;16;;-1,764973;0,865657;0,300746; 53;52
;-0,610920;-0,879482;0,004260;-0,010306;9,86029e-05; 48;47;;-0,000004;-0,001746;3,05665e-06; 21;21;;-1,067004;0,517562;0,877588; 85;84
;0,274850;-1,032563;0,004416;-0,010658;0,000105534; 56;55;;0,001279;-0,002361;5,82914e-06; 21;21;;0,004317;-0,017720;0,000274782; 80;79
;0,818934;-1,712882;0,004133;-0,009973;9,24041e-05; 71;70;;nan;nan;nan; 18;18;;1,067417;-0,553136;0,877718; 83;82
;0,383740;1,884518;-0,004330;0,010452;0,000101484; 61;60;;-0,000082;0,001299;1,59405e-06; 23;23;;0,002934;0,018039;0,000395527; 92;91
;-1,874508;0,827113;-1,746658;0,864637;0,298719; 15;14;;-1,747362;0,872334;0,29864; 13;13;;-1,767082;0,870766;0,301103; 43;42
;-0,514359;-1,891110;0,004172;-0,010072;9,42324e-05; 61;60;;0,000061;-0,001326;1,68423e-06; 23;23;;-0,003124;-0,018619;0,000424343; 92;91
;-0,223823;0,161443;-0,004297;0,010332;9,9288e-05; 38;37;;-0,001479;0,002053;5,55492e-06; 17;17;;-0,014548;0,010714;0,000382156; 53;52
;-1,149388;1,230811;-1,748421;0,882707;0,298715; 26;25;;-1,747421;0,872424;0,29864; 19;19;;-1,072631;0,553509;0,877648; 72;71
;-1,200293;1,807001;-1,748390;0,882384;0,29871; 46;45;;-1,747698;0,875215;0,29864; 20;20;;-1,072388;0,553283;0,877646; 84;83
;-1,882565;1,765130;-1,748417;0,882669;0,298714; 47;46;;-1,747707;0,875328;0,298641; 20;20;;-1,751231;0,891485;0,29897; 78;77
;1,355571;0,169866;1,746655;-0,864607;0,298719; 50;49;;1,747331;-0,871759;0,298642; 19;19;;1,076621;-0,518264;0,877683; 74;73
;1,413434;-0,706381;1,746692;-0,864983;0,298713; 34;33;;1,747196;-0,871619;0,298643; 17;17;;1,087306;-0,543633;0,876745; 56;55
;-1,189306;0,815760;-1,746630;0,864355;0,298724; 36;35;;nan;nan;nan; 11;11;;-1,077650;0,551990;0,877424; 56;55
;-0,956267;-0,105899;-0,004243;0,010201;9,67743e-05; 50;49;;nan;nan;nan; 24;24;;-1,067404;0,516744;0,877628; 70;69
;-0,051332;-1,659047;0,004146;-0,010007;9,30331e-05; 61;60;;0,000285;-0,001868;3,11915e-06; 22;22;;-0,000561;-0,018179;0,000341277; 89;88
;-1,622669;1,985595;-1,748415;0,882642;0,298714; 49;48;;-1,747802;0,875713;0,298642; 20;20;;-1,746140;0,892463;0,299026; 81;80
;1,937132;1,971191;1,746695;-0,865012;0,298712; 60;59;;nan;nan;nan; 18;18;;1,749570;-0,855500;0,299034; 99;98
;-0,447829;-0,289621;0,002800;-0,009753;8,34851e-05; 26;25;;0,000896;-0,000728;1,48229e-06; 17;17;;-0,012553;-0,012994;0,00064706; 65;64
;0,677816;-0,989715;0,004356;-0,010513;0,000102675; 59;58;;0,001003;-0,001384;2,53981e-06; 22;22;;1,061953;-0,551915;0,877639; 68;67
;1,626331;-1,017060;1,748471;-0,883227;0,298724; 27;26;;1,747807;-0,875686;0,298642; 15;15;;1,739024;-0,889787;0,299467; 46;45
;-0,835170;0,268014;-0,004233;0,010206;9,67917e-05; 53;52;;-1,747662;0,873808;0,298639; 48;48;;-1,059214;0,521147;0,877153; 57;56
;-1,201392;-0,674886;-0,004127;0,009927;9,16354e-05; 57;56;;nan;nan;nan; 16;16;;-1,072500;0,517238;0,877715; 83;82
;-1,525254;1,586413;-1,748439;0,882897;0,298718; 44;43;;-1,747807;0,875742;0,298642; 19;19;;-1,745069;0,892017;0,299054; 74;73
;0,325877;0,617267;-0,004093;0,009901;9,10063e-05; 46;45;;0,000055;0,001191;1,49071e-06; 21;21;;0,007388;0,016751;0,000513501; 72;71
;-1,984375;1,594714;-1,748413;0,882630;0,298714; 45;44;;-1,747825;0,876016;0,298643; 19;19;;-1,756087;0,890261;0,299219; 77;76
;1,759392;-0,112613;1,746635;-0,864408;0,298723; 45;44;;1,747403;-0,872047;0,298641; 19;19;;1,747857;-0,854832;0,299004; 73;72
;1,658437;1,815668;1,746644;-0,864499;0,298721; 59;58;;nan;-inf;nan; 17;17;;1,747080;-0,855276;0,298973; 98;97
;1,126682;1,265114;-0,004089;0,010313;9,76311e-05; 41;40;;-0,000586;-0,000156;8,03135e-07; 20;20;;1,071133;-0,516534;0,877723; 90;89
;0,375195;1,247658;-0,004097;0,009892;9,08949e-05; 56;55;;-0,000053;0,001427;1,96561e-06; 22;22;;0,004367;0,018140;0,000446397; 84;83
;-0,315378;0,224311;-0,004365;0,010514;0,00010275; 42;41;;-0,001092;0,001083;2,37543e-06; 19;19;;-0,014807;0,010983;0,000396425; 58;57
;0,012513;-0,451125;0,004261;-0,010294;9,84136e-05; 45;44;;0,000215;-0,001787;2,90299e-06; 19;19;;0,000520;-0,018757;0,000342603; 63;62
;0,866909;1,239357;-0,004227;0,010221;9,70052e-05; 51;50;;-0,000193;0,002156;4,30857e-06; 21;21;;1,068683;-0,516930;0,877657; 90;89
;0,820521;0,948210;-0,004168;0,010115;9,48892e-05; 46;45;;-0,001565;0,002566;7,4689e-06; 18;18;;1,067875;-0,516577;0,877647; 86;85
;-0,948210;1,981811;-1,748419;0,882690;0,298715; 43;42;;-1,747159;0,871261;0,298645; 21;21;;-1,069073;0,553804;0,877728; 86;85
;1,365093;1,006684;1,746661;-0,864672;0,298718; 58;57;;nan;nan;nan; 16;16;;1,073571;-0,517303;0,877721; 88;87
