w;l0;d0;l_star;d_star;masa_kg;ugiecie_mm;naprezenie_MPa;f_combined;f_calls
0,000000;962,840663;47,022614;200,000133;49,999862;3,502859;0,144868;32,595224;0,001449;212
0,010000;592,761010;15,868099;337,006510;49,999965;5,902452;0,693096;54,923636;0,012764;331
0,020000;387,481307;48,968474;200,000102;43,012727;2,592262;0,264521;51,199932;0,007777;210
0,030000;795,013276;49,003876;200,000297;40,133548;2,256838;0,348995;63,028662;0,010156;221
0,040000;711,441389;15,526292;200,000275;38,188222;2,043357;0,425727;73,159780;0,012260;666
0,050000;975,414289;33,444319;200,000289;36,730363;1,890322;0,497449;82,221436;0,014177;316
0,060000;700,234993;37,112644;200,000161;35,568136;1,772586;0,565723;90,547639;0,015953;306
0,070000;993,652150;17,522202;200,145655;34,612914;1,679876;0,632184;98,324509;0,017638;332
0,080000;217,017121;19,823298;200,000463;33,759686;1,596918;0,697039;105,892670;0,019188;420
0,090000;950,022889;36,292306;200,000301;33,064759;1,531850;0,757510;112,710575;0,020680;321
0,100000;952,708518;40,905484;200,000273;32,429377;1,473542;0,818644;119,466149;0,022103;221
0,110000;756,975005;40,794397;200,000261;31,859024;1,422166;0,878859;125,997892;0,023466;221
0,120000;370,097964;42,121342;200,000370;31,341249;1,376316;0,938393;132,346356;0,024774;213
0,130000;237,281411;28,336741;200,000184;30,867258;1,335000;0,997371;138,537182;0,026032;196
0,140000;787,371441;12,252266;200,020796;45,379639;2,885705;0,213569;43,603580;0,042237;438
0,150000;273,732719;15,039216;200,924409;30,947847;1,348181;1,000769;138,092944;0,028729;526
0,160000;725,309000;30,001831;199,999972;29,643202;1,231218;1,172592;156,417264;7,880012;307
0,170000;335,380108;31,890316;200,000379;29,286731;1,201787;1,230740;162,199015;0,030646;205
0,180000;843,745231;38,517716;199,999987;28,950344;1,174335;1,288940;167,918626;1,726294;221
0,190000;905,417035;25,571764;200,000290;28,632066;1,148658;1,347221;173,581194;0,032737;321
0,200000;392,071291;42,830592;200,000130;28,329785;1,124531;1,405644;179,196923;0,033736;324
0,210000;535,483871;45,303812;200,000445;28,041603;1,101771;1,464331;184,778969;0,034705;221
0,220000;498,837245;41,419416;200,000341;27,765987;1,080219;1,523342;190,336242;0,035647;327
0,230000;851,802118;36,946623;200,000008;27,501563;1,059740;1,582771;195,879053;0,036561;221
0,240000;625,281533;23,162023;200,059472;27,250570;1,040795;1,643360;201,401392;0,037469;314
0,250000;437,482833;25,624256;200,000332;27,003483;1,021704;1,702827;206,919519;0,038314;201
0,260000;508,017212;20,945158;200,094018;26,771766;1,004715;1,765029;212,438461;0,039184;314
0,270000;516,782128;48,115177;200,000271;26,539560;0,986899;1,825049;217,961367;0,039969;221
0,280000;315,775018;33,145238;200,000002;25,144816;0,885894;2,264924;256,279988;0,041112;407
0,290000;965,623951;16,250191;200,190508;26,112374;0,956293;1,953002;229,052222;0,041599;322
0,300000;945,359661;44,258858;200,000106;25,895818;0,939603;2,013399;234,623464;0,042282;226
0,310000;773,821223;32,588580;200,000326;25,693030;0,924945;2,077726;240,223122;0,043010;324
0,320000;381,157872;35,928526;200,000190;25,495205;0,910756;2,142964;245,858358;0,043716;213
0,330000;683,999145;19,592578;200,156221;25,308896;0,898194;2,211934;251,524107;0,044460;316
0,340000;844,477676;19,597461;200,155053;25,120236;0,884848;2,279095;257,232302;0,045127;327
0,350000;531,650746;23,589282;200,085510;24,932639;0,871379;2,346019;262,991080;0,045747;306
0,360000;256,178472;22,068239;200,000004;28,437057;1,133063;1,384551;177,176520;0,049651;410
