X1;X2;Y
.91421
0.58;0.5;3.44994
0.58;0.58;2.98567
0.58;0.58;2.98567
0.74;0.66;1.6382
0.74;0.74;1.31319
0.74;0.74;1.31319
0.98;0.9;2.90686
0.82;0.9;1.7876
0.82;0.98;2.48868
0.82;0.82;1.36942
0.82;0.74;1.34131
0.66;0.74;1.6382
0.74;0.82;1.34131
0.74;0.66;1.6382
0.78;0.74;1.27731
0.78;0.78;1.24142
0.78;0.78;1.24142
0.86;0.82;1.5333
0.78;0.82;1.30542
0.78;0.86;1.4693
0.78;0.78;1.24142
0.82;0.78;1.30542
0.74;0.78;1.27731
0.78;0.82;1.30542
0.78;0.74;1.27731
0.8;0.78;1.26071
0.76;0.78;1.24726
0.78;0.8;1.26071
0.78;0.76;1.24726
0.79;0.78;1.24789
0.77;0.78;1.24124
0.77;0.79;1.24771
0.77;0.77;1.24106
0.77;0.77;1.24106
0.77;0.76;1.24707
0.77;0.77;1.24106
0.78;0.77;1.24124
0.76;0.77;1.24707
0.77;0.78;1.24124
0.77;0.76;1.24707
0.775;0.77;1.24037
0.775;0.775;1.23968
0.775;0.775;1.23968
0.785;0.78;1.24387
0.775;0.78;1.24055
0.775;0.785;1.243
0.775;0.775;1.23968
0.78;0.775;1.24055
0.77;0.775;1.24037
0.775;0.78;1.24055
0.775;0.77;1.24037
0.7775;0.775;1.23992
0.7725;0.775;1.23983
0.775;0.7775;1.23992
0.775;0.7725;1.23983
0.77625;0.775;1.23975
0.77375;0.775;1.23971
0.775;0.77625;1.23975
0.775;0.77375;1.23971
0.775625;0.775;1.2397
0.774375;0.775;1.23968
0.775;0.775625;1.2397
0.775;0.774375;1.23968
0.775312;0.775;1.23969
0.774687;0.775;1.23968
0.774687;0.775312;1.23969
0.774687;0.774687;1.23967
0.774687;0.774687;1.23967
0.774687;0.774375;1.23968
0.774687;0.774687;1.23967
0.775;0.774687;1.23968
0.774375;0.774687;1.23968
0.774687;0.775;1.23968
0.774687;0.774375;1.23968
0.774844;0.774687;1.23968
0.774531;0.774687;1.23968
0.774687;0.774844;1.23968
0.774687;0.774531;1.23968
0.774766;0.774687;1.23967
0.774609;0.774687;1.23968
0.774687;0.774766;1.23967
0.774687;0.774609;1.23968
0.774727;0.774687;1.23967
0.774727;0.774727;1.23967
0.774727;0.774727;1.23967
0.774805;0.774766;1.23968
0.774727;0.774766;1.23967
0.774727;0.774805;1.23968
0.774727;0.774727;1.23967
0.774766;0.774727;1.23967
0.774687;0.774727;1.23967
0.774727;0.774766;1.23967
0.774727;0.774687;1.23967
0.774746;0.774727;1.23967
0.774707;0.774727;1.23967
0.774707;0.774746;1.23967
0.774707;0.774707;1.23967
0.774707;0.774707;1.23967
0.774707;0.774687;1.23967
0.774707;0.774707;1.23967
0.774727;0.774707;1.23967
0.774687;0.774707;1.23967
0.774707;0.774727;1.23967
0.774707;0.774687;1.23967
0.774717;0.774707;1.23967
0.774717;0.774717;1.23967
0.774717;0.774717;1.23967
0.774736;0.774727;1.23967
0.774717;0.774727;1.23967
0.774717;0.774736;1.23967
0.774717;0.774717;1.23967
0.774727;0.774717;1.23967
0.774707;0.774717;1.23967
0.774717;0.774727;1.23967
0.774717;0.774707;1.23967
0.774722;0.774717;1.23967
0.774712;0.774717;1.23967
0.774717;0.774722;1.23967
0.774717;0.774712;1.23967
0.774719;0.774717;1.23967
0.774714;0.774717;1.23967
0.774717;0.774719;1.23967
0.774717;0.774714;1.23967
0.774718;0.774717;1.23967
0.774716;0.774717;1.23967
0.774716;0.774718;1.23967
0.774716;0.774716;1.23967
0.774716;0.774716;1.23967
0.774716;0.774714;1.23967
0.774716;0.774716;1.23967
0.774717;0.774716;1.23967
0.774714;0.774716;1.23967
0.774716;0.774717;1.23967
0.774716;0.774714;1.23967
