t;x;y;vx;vy
0;0;100;-2.28711;0
0.01;-0.0228652;99.9995;-2.2859;-0.102825
0.02;-0.0457172;99.9979;-2.28446;-0.205598
0.03;-0.0685538;99.9954;-2.28281;-0.308316
0.04;-0.0913727;99.9918;-2.28094;-0.41098
0.05;-0.114172;99.9872;-2.27886;-0.513588
0.06;-0.136949;99.9815;-2.27655;-0.616138
0.07;-0.159702;99.9748;-2.27401;-0.718629
0.08;-0.182429;99.9671;-2.27125;-0.821057
0.09;-0.205126;99.9584;-2.26827;-0.923422
0.1;-0.227793;99.9487;-2.26505;-1.02572
0.11;-0.250427;99.9379;-2.26161;-1.12795
0.12;-0.273025;99.9261;-2.25794;-1.2301
0.13;-0.295585;99.9133;-2.25403;-1.33218
0.14;-0.318105;99.8995;-2.24989;-1.43418
0.15;-0.340582;99.8846;-2.24552;-1.5361
0.16;-0.363014;99.8687;-2.24091;-1.63794
0.17;-0.385399;99.8519;-2.23607;-1.73968
0.18;-0.407735;99.8339;-2.23099;-1.84133
0.19;-0.430018;99.815;-2.22567;-1.94288
0.2;-0.452247;99.7951;-2.22012;-2.04434
0.21;-0.47442;99.7741;-2.21433;-2.14568
0.22;-0.496533;99.7522;-2.2083;-2.24692
0.23;-0.518585;99.7292;-2.20203;-2.34805
0.24;-0.540573;99.7052;-2.19553;-2.44905
0.25;-0.562495;99.6802;-2.18879;-2.54994
0.26;-0.584348;99.6542;-2.18181;-2.6507
0.27;-0.60613;99.6272;-2.17459;-2.75134
0.28;-0.627839;99.5992;-2.16713;-2.85183
0.29;-0.649472;99.5702;-2.15944;-2.9522
0.3;-0.671027;99.5401;-2.15151;-3.05241
0.31;-0.692501;99.5091;-2.14334;-3.15249
0.32;-0.713893;99.4771;-2.13493;-3.25241
0.33;-0.735199;99.4441;-2.12629;-3.35217
0.34;-0.756418;99.4101;-2.11742;-3.45178
0.35;-0.777547;99.375;-2.10831;-3.55123
0.36;-0.798583;99.339;-2.09896;-3.6505
0.37;-0.819525;99.302;-2.08938;-3.74961
0.38;-0.84037;99.264;-2.07957;-3.84854
0.39;-0.861116;99.2251;-2.06952;-3.94729
0.4;-0.88176;99.1851;-2.05924;-4.04586
0.41;-0.9023;99.1441;-2.04873;-4.14423
0.42;-0.922734;99.1022;-2.038;-4.24242
0.43;-0.943059;99.0593;-2.02703;-4.34041
0.44;-0.963273;99.0154;-2.01583;-4.4382
0.45;-0.983375;98.9705;-2.00441;-4.53578
