t;x1_sim;x2_sim;x1_exp;x2_exp
0,000000;0,000000;0,000000;0,000000;0,000000
0,100000;0,000549;0,012221;0,000549;0,012221
0,200000;0,004474;0,047663;0,004474;0,047663
0,300000;0,015227;0,104327;0,015227;0,104327
0,400000;0,035929;0,180113;0,035929;0,180113
0,500000;0,069038;0,272954;0,069038;0,272954
0,600000;0,116143;0,380892;0,116143;0,380892
0,700000;0,177888;0,502122;0,177888;0,502122
0,800000;0,254008;0,634995;0,254008;0,634995
0,900000;0,343443;0,777999;0,343443;0,777999
1,000000;0,444512;0,929720;0,444512;0,929719
1,100000;0,555105;1,088797;0,555105;1,088800
1,200000;0,672883;1,253878;0,672883;1,253880
1,300000;0,795452;1,423583;0,795453;1,423580
1,400000;0,920515;1,596479;0,920516;1,596480
1,500000;1,045970;1,771065;1,045970;1,771060
1,600000;1,169978;1,945774;1,169980;1,945770
1,700000;1,290990;2,118989;1,290990;2,118990
1,800000;1,407740;2,289060;1,407740;2,289060
1,900000;1,519219;2,454339;1,519220;2,454340
2,000000;1,624630;2,613209;1,624630;2,613210
2,100000;1,723341;2,764118;1,723340;2,764120
2,200000;1,814840;2,905611;1,814840;2,905610
2,300000;1,898688;3,036356;1,898690;3,036360
2,400000;1,974492;3,155167;1,974490;3,155170
2,500000;2,041888;3,261021;2,041890;3,261020
2,600000;2,100528;3,353066;2,100530;3,353070
2,700000;2,150083;3,430628;2,150080;3,430630
2,800000;2,190257;3,493212;2,190260;3,493210
2,900000;2,220796;3,540497;2,220800;3,540500
3,000000;2,241508;3,572335;2,241510;3,572330
3,100000;2,252279;3,588739;2,252280;3,588740
3,200000;2,253090;3,589877;2,253090;3,589880
3,300000;2,244024;3,576064;2,244020;3,576060
3,400000;2,225274;3,547750;2,225270;3,547750
3,500000;2,197149;3,505515;2,197150;3,505510
3,600000;2,160063;3,450055;2,160060;3,450060
3,700000;2,114536;3,382181;2,114540;3,382180
3,800000;2,061180;3,302799;2,061180;3,302800
3,900000;2,000687;3,212910;2,000690;3,212910
4,000000;1,933819;3,113597;1,933820;3,113600
4,100000;1,861390;3,006012;1,861390;3,006010
4,200000;1,784255;2,891366;1,784260;2,891370
4,300000;1,703298;2,770921;1,703300;2,770920
4,400000;1,619415;2,645970;1,619410;2,645970
4,500000;1,533512;2,517831;1,533510;2,517830
4,600000;1,446488;2,387829;1,446490;2,387830
4,700000;1,359229;2,257286;1,359230;2,257290
4,800000;1,272602;2,127504;1,272600;2,127500
4,900000;1,187446;1,999756;1,187450;1,999760
5,000000;1,104568;1,875269;1,104570;1,875270
5,100000;1,024734;1,755217;1,024730;1,755220
5,200000;0,948666;1,640706;0,948666;1,640710
5,300000;0,877037;1,532766;0,877037;1,532770
5,400000;0,810464;1,432343;0,810464;1,432340
