x0_1;x0_2;HJ_X1;HJ_X2;HJ_Y;HJ_Wywolania;;;;Rosen_X1;Rosen_X2;Rosen_Y;Rosen_Wywolania
-0.05;-0.11;-4.16334e-17;6.10352e-07;1,19E-11;65;;;;-4.16334e-17;-0.0100015;0,00318364;65
0.55;-0.88;0.774716;-0.774716;1,23967;65;;;;0.649998;-0.780002;1,66054;65
-0.25;-0.48;-2.77556e-17;-0.774716;0,619837;65;;;;-0.150002;-0.529998;2,44324;65
0.44;-0.35;0.774715;-2.77556e-17;0,619837;65;;;;0.539998;-0.250002;3,1908;65
-0.46;0.03;-0.774716;-3.05176e-07;0,619837;73;;;;-0.591064;-0.0303553;1,44869;73
-0.65;0.19;-0.774716;6.10352e-07;0,619837;73;;;;-0.710717;0.0592976;0,851088;73
0.01;-0.72;-6.10352e-07;-0.774716;0,619837;377;;;;1.28215e-06;-0.774717;0,619837;377
0.33;-0.94;-3.05176e-07;-0.774715;0,619837;65;;;;0.280002;-0.840002;2,42074;65
0.1;-0.03;8.32667e-17;3.05176e-07;2,97E-12;281;;;;-9.62011e-07;-1.36666e-07;3,01E-11;281
0.55;-0.56;0.774716;-0.774716;1,23967;65;;;;0.649998;-0.609998;2,33348;65
-0.63;0.99;-0.774716;0.774715;1,23967;73;;;;-0.681514;0.850095;1,66617;73
-0.81;0.73;-0.774716;0.774716;1,23967;285;;;;-0.774715;0.774716;1,23967;285
0.93;-0.08;0.774716;3.05176e-07;0,619837;353;;;;0.774716;7.11466e-07;0,619837;353
0;0.46;0;0.774716;0,619837;65;;;;0;0.559998;1,62263;65
0.59;0.1;0.774715;8.32667e-17;0,619837;65;;;;0.689998;0.0500015;0,905285;65
-0.81;-0.53;-0.774716;-0.774716;1,23967;73;;;;-0.732836;-0.680384;1,54569;73
-0.12;-0.35;-3.05176e-07;-5.55112e-17;2,97E-12;65;;;;-0.0200015;-0.250002;1,45791;65
-0.88;-0.02;-0.774716;-3.05176e-07;0,619837;65;;;;-0.780002;-3.05176e-07;0,620712;65
0.43;-0.25;0.774716;-2.77556e-17;0,619837;65;;;;0.529998;-0.150002;2,44324;65
0.41;0.76;0.774716;0.774716;1,23967;65;;;;0.509998;0.774716;2,52939;65
0.25;0.01;2.77556e-17;-6.10352e-07;1,19E-11;81;;;;0.103869;0.0133191;0,331137;81
0.13;-0.74;-3.05176e-07;-0.774715;0,619837;301;;;;-8.47968e-07;-0.774716;0,619837;301
-0.12;-0.48;-3.05176e-07;-0.774716;0,619837;65;;;;-0.0200015;-0.529998;1,81612;65
-0.16;0.93;6.10352e-07;0.774716;0,619837;65;;;;-0.0600015;0.880002;1,07799;65
-0.11;-0.66;6.10352e-07;-0.774716;0,619837;65;;;;-0.0100015;-0.709998;0,746884;65
0.94;-0.15;0.774715;-1.38778e-17;0,619837;65;;;;0.890002;-0.0500015;1,11033;65
-0.06;0.51;6.10352e-07;0.774716;0,619837;65;;;;-9.15527e-07;0.609998;1,29365;65
0.33;0.88;-3.05176e-07;0.774716;0,619837;73;;;;0.198936;0.819645;1,71492;73
-0.6;-0.73;-0.774716;-0.774716;1,23967;73;;;;-0.731064;-0.790355;1,30501;73
0.27;-0.51;3.05176e-07;-0.774716;0,619837;73;;;;0.138936;-0.570355;2,11392;73
0.73;0.52;0.774716;0.774716;1,23967;65;;;;0.774714;0.619998;1,84781;65
0;0.23;0;-3.05176e-07;2,97E-12;65;;;;0;0.180002;0,875978;65
-1;0.16;-0.774716;-6.10352e-07;0,619837;65;;;;-0.900002;0.110002;1,46556;65
0.39;-0.52;0.774715;-0.774716;1,23967;65;;;;0.489998;-0.569998;3,55887;65
0.75;0.89;0.774716;0.774715;1,23967;249;;;;0.774716;0.774716;1,23967;249
0.35;-0.1;1.66533e-16;2.77556e-17;0;65;;;;0.300002;-1.52588e-06;1,79712;65
0.49;-0.04;0.774715;-6.10352e-07;0,619837;65;;;;0.589998;-6.10352e-07;1,42657;65
-0.11;-0.76;6.10352e-07;-0.774716;0,619837;65;;;;-0.0100015;-0.774717;0,623021;65
0.45;0.15;0.774716;-9.71445e-17;0,619837;65;;;;0.549998;0.100002;1,9881;65
0.21;0.52;-6.10352e-07;0.774716;0,619837;65;;;;0.160002;0.619998;1,94457;65
-0.36;-0.67;6.10352e-07;-0.774716;0,619837;65;;;;-0.260002;-0.719998;2,23099;65
0.33;-0.8;-3.05176e-07;-0.774716;0,619837;81;;;;0.120281;-0.736459;1,0928;81
0.27;0.1;3.05176e-07;8.32667e-17;2,97E-12;73;;;;0.138936;0.0396447;0,60754;73
0.2;0.94;-1.38778e-17;0.774715;0,619837;73;;;;0.0892832;0.859298;1,08882;73
-0.97;-0.16;-0.774716;6.10352e-07;0,619837;65;;;;-0.870002;-0.0600015;1,01687;65
0.18;-0.44;-3.05176e-07;-0.774715;0,619837;73;;;;0.0754505;-0.52687;1,99709;73
0.08;0.81;-3.05176e-07;0.774716;0,619837;305;;;;2.87499e-07;0.774716;0,619837;305
-0.13;-0.76;3.05176e-07;-0.774716;0,619837;65;;;;-0.0300015;-0.774717;0,64837;65
-0.93;0.78;-0.774716;0.774716;1,23967;65;;;;-0.830002;0.774716;1,33637;65
-0.49;0.2;-0.774715;-1.38778e-17;0,619837;73;;;;-0.568031;0.0866117;1,8012;73
0.63;-0.49;0.774716;-0.774715;1,23967;65;;;;0.729998;-0.539998;2,42586;65
-0.23;0.1;3.05176e-07;8.32667e-17;2,97E-12;65;;;;-0.130002;0.0500015;0,573037;65
0.02;-0.84;3.05176e-07;-0.774715;0,619837;233;;;;-7.80472e-07;-0.774715;0,619837;233
0.79;-0.02;0.774715;-3.05176e-07;0,619837;177;;;;0.774714;-8.42683e-07;0,619837;177
-0.91;-0.77;-0.774716;-0.774716;1,23967;65;;;;-0.810002;-0.774716;1,27902;65
-0.56;-0.24;-0.774716;-6.10352e-07;0,619837;65;;;;-0.609998;-0.140002;1,85927;65
-0.27;-0.29;-3.05176e-07;-6.10352e-07;1,48E-11;65;;;;-0.170002;-0.190002;1,75312;65
0.79;0.19;0.774715;6.10352e-07;0,619837;73;;;;0.765;0.0235808;0,640427;73
-0.2;-0.71;1.38778e-17;-0.774716;0,619837;65;;;;-0.100002;-0.759998;0,929447;65
-0.16;0.02;6.10352e-07;3.05176e-07;1,48E-11;65;;;;-0.0600015;3.05176e-07;0,112599;65
-0.57;-0.31;-0.774716;6.10352e-07;0,619837;65;;;;-0.619998;-0.210002;2,35055;65
0;0.51;0;0.774716;0,619837;65;;;;0;0.609998;1,29365;65
0.81;0.79;0.774716;0.774715;1,23967;325;;;;0.774716;0.774716;1,23967;325
0.17;0.01;3.05176e-07;-6.10352e-07;1,48E-11;81;;;;0.0252598;0.00358514;0,0206622;81
-0.55;0.94;-0.774716;0.774715;1,23967;73;;;;-0.66532;0.8639;1,82148;73
-0.18;-0.02;3.05176e-07;-3.05176e-07;5,93E-12;65;;;;-0.0800015;-3.05176e-07;0,19739;65
-0.57;0.73;-0.774716;0.774716;1,23967;81;;;;-0.767422;0.784318;1,24422;81
-0.76;-0.8;-0.774716;-0.774716;1,23967;285;;;;-0.774716;-0.774716;1,23967;285
-0.04;0.56;-6.10352e-07;0.774716;0,619837;65;;;;-6.10352e-07;0.659998;0,981619;65
0.18;0.91;-3.05176e-07;0.774716;0,619837;73;;;;0.0628461;0.835735;0,860892;73
0.34;-0.59;6.10352e-07;-0.774715;0,619837;73;;;;0.208936;-0.650355;2,15148;73
0.27;0.4;3.05176e-07;0.774716;0,619837;65;;;;0.220002;0.499998;3,16196;65
-0.46;-0.8;-0.774716;-0.774716;1,23967;85;;;;-0.624552;-0.75974;1,82521;85
-0.71;-0.19;-0.774716;-6.10352e-07;0,619837;65;;;;-0.759998;-0.0900015;0,874247;65
0.85;0.48;0.774716;0.774716;1,23967;65;;;;0.800002;0.579998;2,13285;65
0.68;-0.36;0.774716;6.10352e-07;0,619837;65;;;;0.774716;-0.260002;2,14144;65
0.21;0.99;-6.10352e-07;0.774715;0,619837;73;;;;0.12248;0.886101;1,44832;73
-0.77;0.4;-0.774716;0.774716;1,23967;65;;;;-0.774716;0.499998;2,57695;65
0.21;0.55;-6.10352e-07;0.774716;0,619837;65;;;;0.160002;0.649998;1,75642;65
0.98;-0.18;0.774716;3.05176e-07;0,619837;65;;;;0.930002;-0.0800015;1,5398;65
0.22;0.73;3.05176e-07;0.774716;0,619837;85;;;;0.012676;0.791745;0,634074;85
0.92;-0.39;0.774716;-6.10352e-07;0,619837;65;;;;0.870002;-0.290002;2,63783;65
0.35;-0.81;1.66533e-16;-0.774716;0,619837;81;;;;0.140281;-0.746459;1,21198;81
0.11;-0.88;-6.10352e-07;-0.774716;0,619837;65;;;;0.0600015;-0.780002;0,733311;65
0.07;0.81;3.05176e-07;0.774716;0,619837;277;;;;7.09779e-07;0.774715;0,619837;277
-0.65;-0.53;-0.774716;-0.774716;1,23967;73;;;;-0.685709;-0.685711;1,69348;73
-0.42;-0.51;-3.05176e-07;-0.774716;0,619837;65;;;;-0.320002;-0.559998;3,53405;65
-0.21;0.6;6.10352e-07;0.774716;0,619837;65;;;;-0.110002;0.699998;1,14556;65
-0.55;0.6;-0.774716;0.774716;1,23967;65;;;;-0.599998;0.699998;2,14291;65
0.38;-0.69;-3.05176e-07;-0.774715;0,619837;73;;;;0.248936;-0.750355;2,07501;73
0.86;0.86;0.774716;0.774716;1,23967;73;;;;0.774716;0.774716;1,23967;73
-0.4;-0.83;-9.71445e-17;-0.774716;0,619837;65;;;;-0.300002;-0.774716;2,41695;65
-0.08;-0.11;3.05176e-07;6.10352e-07;1,48E-11;65;;;;-1.2207e-06;-0.0100015;0,00318364;65
0.91;0.29;0.774716;6.10352e-07;0,619837;73;;;;0.885;0.123581;1,44838;73
-0.3;0.65;-9.71445e-17;0.774716;0,619837;65;;;;-0.200002;0.749998;1,67864;65
-0.51;0.43;-0.774716;0.774716;1,23967;65;;;;-0.559998;0.529998;3,42604;65
-0.94;0.63;-0.774715;0.774716;1,23967;65;;;;-0.840002;0.729998;1,43481;65
-0.69;-0.51;-0.774715;-0.774716;1,23967;73;;;;-0.715;-0.676419;1,61865;73
0.44;0.4;0.774715;0.774716;1,23967;65;;;;0.539998;0.499998;3,70271;65
-0.25;-0.05;-2.77556e-17;-4.16334e-17;0;65;;;;-0.150002;-4.16334e-17;0,639828;65
