x0_1;x0_2;HJ_X1;HJ_X2;HJ_Y;HJ_Wywolania;;;Rosen_X1;Rosen_X2;Rosen_Y;Rosen_Wywolania;
-0.9;0.33;-0.774716;4.57764e-07;0,619837;301;;;;-0.774716;2.46738e-07;0,619837;301
-0.95;0.73;-0.774715;0.774715;1,23967;229;;;;-0.774716;0.774716;1,23967;229
-0.56;0.92;-0.774716;0.774716;1,23967;297;;;;-0.774716;0.774715;1,23967;297
-0.84;-0.89;-0.774716;-0.774716;1,23967;437;;;;-0.774715;-0.774716;1,23967;437
0.96;-0.33;0.774716;-4.57764e-07;0,619837;73;;;;0.810001;-0.0300011;0,687717;73
-0.27;0.8;4.57764e-07;0.774715;0,619837;253;;;;1.28166e-07;0.774716;0,619837;253
-0.08;-0.71;-7.62939e-08;-0.774716;0,619837;457;;;;-3.20777e-07;-0.774717;0,619837;457
0.36;0.12;0.774716;-4.57764e-07;0,619837;73;;;;0.659999;6.86646e-07;0,981617;73
-0.73;0.49;-0.774715;0.774716;1,23967;229;;;;-0.774717;0.774716;1,23967;229
0.83;0.23;0.774716;7.62939e-08;0,619837;377;;;;0.774716;-9.13613e-07;0,619837;377
0.34;0.04;0.774716;-5.34058e-07;0,619837;73;;;;0.639999;-5.34058e-07;1,10059;73
0.31;0.86;1.52588e-07;0.774716;0,619837;281;;;;-5.06323e-07;0.774717;0,619837;281
-0.86;-0.84;-0.774716;-0.774716;1,23967;309;;;;-0.774716;-0.774716;1,23967;309
-0.87;-0.7;-0.774715;-0.774716;1,23967;321;;;;-0.774716;-0.774716;1,23967;321
-0.18;-0.67;-4.57764e-07;-0.774716;0,619837;285;;;;1.15968e-06;-0.774716;0,619837;285
0.69;-0.77;0.774716;-0.774716;1,23967;157;;;;0.774716;-0.774716;1,23967;157
-0.46;0.01;-1.52588e-07;1.52588e-07;1,48E-12;73;;;;-0.160001;-9.91821e-07;0,716592;73
-0.06;0.62;2.28882e-07;0.774716;0,619837;329;;;;2.99774e-07;0.774716;0,619837;329
0.08;0.23;7.62939e-08;7.62939e-08;3,71E-13;329;;;;5.92578e-07;3.79605e-07;1,58E-11;329
-0.69;0.82;-0.774716;0.774716;1,23967;389;;;;-0.774716;0.774715;1,23967;389
0.55;0.24;0.774716;2.28882e-07;0,619837;321;;;;0.774716;-1.30275e-06;0,619837;321
-0.74;-0.25;-0.774716;-3.8147e-07;0,619837;357;;;;-0.774715;-1.57969e-07;0,619837;357
0.65;-0.3;0.774715;-5.55112e-17;0,619837;73;;;;0.774715;-1.14441e-06;0,619837;73
0.75;0.4;0.774716;0.774716;1,23967;73;;;;0.774716;0.699999;1,40274;73
