t;x;y;vx;vy
0;0;100;-1.52914;0
0.01;-0.0152886;99.9995;-1.52856;-0.0956968
0.02;-0.0305708;99.9981;-1.52784;-0.191391
0.03;-0.045845;99.9957;-1.52697;-0.287078
0.04;-0.0611097;99.9923;-1.52595;-0.382755
0.05;-0.0763634;99.988;-1.52478;-0.478419
0.06;-0.0916047;99.9828;-1.52346;-0.574065
0.07;-0.106832;99.9766;-1.52199;-0.669689
0.08;-0.122044;99.9694;-1.52037;-0.765289
0.09;-0.137239;99.9613;-1.5186;-0.860861
0.1;-0.152415;99.9522;-1.51668;-0.9564
0.11;-0.167572;99.9421;-1.51461;-1.0519
0.12;-0.182707;99.9311;-1.5124;-1.14737
0.13;-0.197819;99.9192;-1.51004;-1.24279
0.14;-0.212907;99.9063;-1.50752;-1.33816
0.15;-0.227969;99.8924;-1.50486;-1.43349
0.16;-0.243004;99.8776;-1.50206;-1.52876
0.17;-0.25801;99.8618;-1.4991;-1.62397
0.18;-0.272986;99.8451;-1.496;-1.71913
0.19;-0.287929;99.8275;-1.49274;-1.81421
0.2;-0.30284;99.8088;-1.48935;-1.90923
0.21;-0.317716;99.7893;-1.4858;-2.00418
0.22;-0.332556;99.7688;-1.48211;-2.09905
0.23;-0.347358;99.7473;-1.47827;-2.19385
0.24;-0.36212;99.7249;-1.47428;-2.28856
0.25;-0.376843;99.7015;-1.47015;-2.38319
0.26;-0.391523;99.6772;-1.46588;-2.47772
0.27;-0.40616;99.652;-1.46145;-2.57217
0.28;-0.420752;99.6258;-1.45688;-2.66652
0.29;-0.435297;99.5986;-1.45217;-2.76076
0.3;-0.449795;99.5706;-1.44731;-2.85491
0.31;-0.464243;99.5415;-1.44231;-2.94895
0.32;-0.47864;99.5116;-1.43716;-3.04288
0.33;-0.492985;99.4807;-1.43186;-3.13669
0.34;-0.507277;99.4488;-1.42643;-3.23039
0.35;-0.521513;99.4161;-1.42085;-3.32397
0.36;-0.535693;99.3824;-1.41512;-3.41743
0.37;-0.549815;99.3477;-1.40925;-3.51076
0.38;-0.563878;99.3122;-1.40324;-3.60396
0.39;-0.57788;99.2756;-1.39709;-3.69702
0.4;-0.591819;99.2382;-1.39079;-3.78995
0.41;-0.605695;99.1998;-1.38436;-3.88274
0.42;-0.619506;99.1606;-1.37778;-3.97539
0.43;-0.63325;99.1203;-1.37106;-4.06789
0.44;-0.646927;99.0792;-1.36419;-4.16024
0.45;-0.660534;99.0371;-1.35719;-4.25244
0.46;-0.67407;98.9942;-1.35004;-4.34449
0.47;-0.687534;98.9502;-1.34276;-4.43637
0.48;-0.700925;98.9054;-1.33533;-4.52809
0.49;-0.71424;98.8597;-1.32777;-4.61965
0.5;-0.72748;98.813;-1.32007;-4.71105
0.51;-0.740641;98.7655;-1.31222;-4.80227
0.52;-0.753724;98.717;-1.30424;-4.89331
0.53;-0.766726;98.6676;-1.29612;-4.98418
0.54;-0.779646;98.6173;-1.28786;-5.07488
0.55;-0.792482;98.5661;-1.27947;-5.16538
0.56;-0.805234;98.514;-1.27093;-5.25571
0.57;-0.817901;98.461;-1.26226;-5.34584
0.58;-0.830479;98.4071;-1.25345;-5.43579
0.59;-0.842969;98.3523;-1.24451;-5.52554
0.6;-0.855369;98.2966;-1.23543;-5.61509
0.61;-0.867677;98.24;-1.22621;-5.70445
0.62;-0.879893;98.1825;-1.21686;-5.7936
0.63;-0.892014;98.1241;-1.20737;-5.88255
0.64;-0.90404;98.0648;-1.19775;-5.97129
0.65;-0.915969;98.0047;-1.188;-6.05982
0.66;-0.927799;97.9436;-1.17811;-6.14814
0.67;-0.93953;97.8817;-1.16809;-6.23624
0.68;-0.951161;97.8189;-1.15793;-6.32413
0.69;-0.962689;97.7552;-1.14764;-6.41179
0.7;-0.974113;97.6907;-1.13722;-6.49924
0.71;-0.985432;97.6252;-1.12666;-6.58646
0.72;-0.996646;97.5589;-1.11598;-6.67345
0.73;-1.00775;97.4918;-1.10516;-6.76021
0.74;-1.01875;97.4237;-1.09421;-6.84674
0.75;-1.02964;97.3548;-1.08313;-6.93303
0.76;-1.04041;97.2851;-1.07192;-7.01909
0.77;-1.05107;97.2145;-1.06058;-7.10491
0.78;-1.06162;97.143;-1.04912;-7.19049
0.79;-1.07206;97.0707;-1.03752;-7.27583
0.8;-1.08237;96.9975;-1.02579;-7.36092
0.81;-1.09257;96.9234;-1.01394;-7.44576
0.82;-1.10265;96.8486;-1.00195;-7.53036
0.83;-1.11261;96.7728;-0.989842;-7.6147
0.84;-1.12245;96.6963;-0.977604;-7.69879
0.85;-1.13216;96.6189;-0.965239;-7.78262
0.86;-1.14175;96.5406;-0.952748;-7.8662
0.87;-1.15122;96.4615;-0.940131;-7.94951
0.88;-1.16055;96.3816;-0.927388;-8.03257
0.89;-1.16976;96.3009;-0.91452;-8.11536
0.9;-1.17884;96.2193;-0.901527;-8.19789
0.91;-1.18779;96.1369;-0.88841;-8.28015
0.92;-1.19661;96.0537;-0.875168;-8.36214
0.93;-1.2053;95.9697;-0.861803;-8.44386
0.94;-1.21385;95.8848;-0.848314;-8.52531
0.95;-1.22226;95.7992;-0.834703;-8.60649
0.96;-1.23054;95.7127;-0.820969;-8.68739
0.97;-1.23868;95.6254;-0.807113;-8.76801
0.98;-1.24668;95.5374;-0.793136;-8.84836
0.99;-1.25454;95.4485;-0.779037;-8.92843
1;-1.26226;95.3588;-0.764817;-9.00821
1.01;-1.26984;95.2683;-0.750476;-9.08771
1.02;-1.27727;95.177;-0.736016;-9.16693
1.03;-1.28456;95.085;-0.721436;-9.24587
1.04;-1.2917;94.9921;-0.706736;-9.32451
1.05;-1.29869;94.8985;-0.691918;-9.40287
1.06;-1.30554;94.8041;-0.676981;-9.48094
1.07;-1.31223;94.7089;-0.661926;-9.55872
1.08;-1.31878;94.6129;-0.646753;-9.6362
1.09;-1.32517;94.5161;-0.631463;-9.7134
1.1;-1.3314;94.4186;-0.616055;-9.7903
1.11;-1.33749;94.3203;-0.600532;-9.8669
1.12;-1.34341;94.2213;-0.584892;-9.94321
1.13;-1.34919;94.1215;-0.569136;-10.0192
1.14;-1.3548;94.0209;-0.553265;-10.0949
1.15;-1.36025;93.9196;-0.537279;-10.1703
1.16;-1.36554;93.8175;-0.521178;-10.2455
1.17;-1.37067;93.7147;-0.504964;-10.3203
1.18;-1.37564;93.6111;-0.488635;-10.3948
1.19;-1.38045;93.5068;-0.472193;-10.469
1.2;-1.38508;93.4017;-0.455638;-10.5429
